# PROVENANCE -- reproducible from the original with tools/fielddata/extract_ride_fixture.py
#   source file    i188577527.fit (not committed: carries GPS and heart rate)
#   device         garmin_product 4440, firmware 32.2; recorded on 2026-09-20 (date only: the start
#                  time is dropped so relative seconds cannot be turned into clock times)
#   ours           developer_data_index 3, application_id 24ec02815a2643ac8e47d1f1bc7bceb4 (manifest id is fc13e61e7ca54c998c7a7c64f0ef4434)
#   CRC            verified by fitparse check_crc=True
#   values         record messages (FIT global 20) in file order; t = seconds since the
#                  first record; power = native field 7 (W); PCr_J / GLY_J = this app's
#                  developer fields 0 / 1, float32, written with 9 significant digits
#                  (exact round-trip)
#   absence        an EMPTY cell means the field was absent from that record; 0 W is a
#                  real power reading. Record fields latch (FACTS.md 3.3), so a repeated
#                  value can be a steady state or a re-emitted one.
#   columns        read BY NAME; a loader must refuse a row whose cell count differs
#                  from the header's.
#   cross-checks   records 11903; first PCr_J 5368, GLY_J 16104; last t 15140
t,power,PCr_J,GLY_J
2925,206,4931.71631,12520.002
2926,196,4934.33789,12523.8936
2927,165,4937.47314,12527.9766
2928,135,4942.2168,12532.6621
2929,123,4948.48584,12537.9121
2930,148,4955.2749,12543.3604
2931,156,4960.77539,12548.4326
2932,153,4965.64209,12553.1904
2933,167,4970.67676,12558.0752
2934,171,4974.9624,12562.6826
2935,158,4979.01416,12567.2119
2936,150,4983.64551,12571.9834
2937,163,4988.6001,12576.8984
2938,164,4992.88574,12581.5625
2939,171,4997.07812,12586.2012
2940,172,5000.90527,12590.7002
2941,169,5004.64844,12595.1738
2942,174,5008.48828,12599.6992
2943,174,5012.0708,12604.1279
2944,172,5015.61475,12608.5469
2945,174,5019.21045,12612.998
2946,159,5022.68457,12617.4053
2947,46,5026.75732,12622.0859
2948,0,5035.53857,12628.498
2949,0,5045.96924,12635.3359
2950,0,5056.05566,12642.1465
2951,0,5065.85791,12648.9648
2952,0,5075.34521,12655.7627
2953,0,5084.5459,12662.5537
2954,0,5093.45117,12669.3242
2955,110,5102.0791,12676.082
2956,210,5106.83203,12681.5283
2957,238,5108.28125,12685.1641
2958,250,5108.82568,12688.2705
2959,253,5108.98535,12691.1523
2960,218,5109.04932,12693.9844
2961,170,5110.22998,12697.4521
2962,141,5112.93311,12701.8271
2963,151,5116.52441,12706.7246
2964,171,5119.75244,12711.4346
2965,166,5122.32129,12715.7646
2966,140,5125.02344,12720.1943
2967,153,5128.47363,12725.0781
2968,168,5131.49121,12729.7266
2969,174,5134.03809,12734.1055
2970,137,5136.375,12738.3516
2971,147,5139.75586,12743.2656
2972,123,5142.80273,12747.9951
2973,176,5146.47363,12753.1172
2974,167,5148.63965,12757.3154
2975,157,5151.02686,12761.6689
2976,138,5153.65674,12766.1963
2977,142,5156.75586,12771.043
2978,149,5159.70947,12775.8193
2979,177,5162.44434,12780.4727
2980,204,5164.42676,12784.6094
2981,219,5165.71191,12788.2471
2982,211,5166.61426,12791.6074
2983,215,5167.71045,12795.1045
2984,213,5168.70361,12798.5312
2985,214,5169.73926,12801.9844
2986,189,5170.74609,12805.4189
2987,162,5172.36084,12809.3135
2988,141,5174.61572,12813.6875
2989,146,5177.34521,12818.415
2990,156,5179.92383,12823.0605
2991,164,5182.22998,12827.5176
2992,163,5184.32422,12831.8281
2993,167,5186.42432,12836.1641
2994,163,5188.40674,12840.415
2995,163,5190.45654,12844.7305
2996,173,5192.4834,12849.04
2997,164,5194.26953,12853.167
2998,155,5196.23193,12857.4482
2999,140,5198.3623,12861.876
3000,139,5200.78711,12866.5596
3001,139,5203.19385,12871.2441
3002,139,5205.57129,12875.9307
3003,155,5207.9126,12880.6064
3004,178,5209.8999,12885.0029
3005,209,5211.41455,12889
3006,222,5212.31006,12892.4336
3007,226,5212.94873,12895.6318
3008,218,5213.50781,12898.7559
3009,200,5214.21875,12902.0186
3010,194,5215.26953,12905.5957
3011,177,5216.42871,12909.2793
3012,167,5217.89941,12913.2598
3013,161,5219.54492,12917.4141
3014,166,5221.27832,12921.6533
3015,174,5222.90674,12925.8184
3016,178,5224.36865,12929.8271
3017,182,5225.74561,12933.7646
3018,190,5227.03906,12937.627
3019,188,5228.18018,12941.3438
3020,181,5229.34814,12945.0957
3021,184,5230.62646,12948.9619
3022,177,5231.8418,12952.7715
3023,153,5233.16406,12956.6943
3024,135,5234.87988,12961.0283
3025,141,5236.87158,12965.6445
3026,163,5238.73584,12970.1582
3027,167,5240.21777,12974.2979
3028,164,5241.62158,12978.373
3029,157,5243.05518,12982.4854
3030,143,5244.58301,12986.7139
3031,144,5246.30811,12991.165
3032,156,5247.99414,12995.5938
3033,152,5249.479,12999.8252
3034,141,5251.00342,13004.1123
3035,147,5252.66895,13008.5703
3036,171,5254.22461,13012.9258
3037,164,5255.41846,13016.8789
3038,150,5256.69873,13020.9443
3039,148,5258.15918,13025.2344
3040,165,5259.62695,13029.5469
3041,168,5260.84766,13033.583
3042,168,5262.05322,13037.6104
3043,169,5263.20605,13041.582
3044,176,5264.3335,13045.5322
3045,169,5265.35791,13049.3604
3046,150,5266.45996,13053.292
3047,126,5267.79541,13057.541
3048,135,5269.41309,13062.1514
3049,134,5270.89404,13066.6191
3050,136,5272.36523,13071.0947
3051,154,5273.79053,13075.5332
3052,171,5274.98242,13079.6836
3053,179,5275.96143,13083.5518
3054,168,5276.83691,13087.2783
3055,0,5277.83252,13091.1934
3056,0,5280.71143,13097.1152
3057,0,5283.50439,13103.0371
3058,0,5286.20605,13108.9414
3059,0,5288.82178,13114.834
3060,53,5291.35449,13120.7148
3061,223,5293.29541,13126.1289
3062,187,5293.5957,13129.0811
3063,164,5294.23096,13132.623
3064,127,5295.07275,13136.5322
3065,119,5296.24609,13141.0127
3066,125,5297.47168,13145.5957
3067,129,5298.62207,13150.082
3068,129,5299.72119,13154.5127
3069,131,5300.80225,13158.9326
3070,142,5301.84961,13163.3164
3071,144,5302.78906,13167.5303
3072,133,5303.69922,13171.708
3073,122,5304.68555,13176.0439
3074,128,5305.74463,13180.5312
3075,147,5306.73828,13184.9219
3076,156,5307.5708,13189.0293
3077,168,5308.32373,13192.9932
3078,155,5308.97656,13196.7598
3079,135,5309.72021,13200.7324
3080,137,5310.60059,13204.9961
3081,159,5311.45312,13209.2246
3082,167,5312.13672,13213.1143
3083,174,5312.75586,13216.874
3084,157,5313.31982,13220.5225
3085,148,5313.99414,13224.4248
3086,134,5314.72314,13228.4658
3087,120,5315.53467,13232.6992
3088,117,5316.42822,13237.1318
3089,123,5317.3252,13241.5938
3090,129,5318.16846,13245.9668
3091,135,5318.96045,13250.249
3092,141,5319.70264,13254.4404
3093,141,5320.39648,13258.5342
3094,141,5321.08203,13262.6309
3095,147,5321.75684,13266.7168
3096,143,5322.38672,13270.7051
3097,132,5323.03271,13274.7588
3098,133,5323.72949,13278.9482
3099,137,5324.41211,13283.1299
3100,153,5325.06152,13287.2441
3101,157,5325.61475,13291.1191
3102,146,5326.13916,13294.9258
3103,149,5326.71631,13298.8975
3104,154,5327.26953,13302.8154
3105,128,5327.78955,13306.6543
3106,114,5328.43457,13310.8555
3107,126,5329.14014,13315.2422
3108,135,5329.7749,13319.4668
3109,147,5330.35498,13323.5566
3110,156,5330.86865,13327.4658
3111,160,5331.33398,13331.2451
3112,160,5331.79297,13335.0117
3113,176,5332.22852,13338.7217
3114,197,5332.58643,13342.1826
3115,192,5332.84668,13345.3174
3116,170,5333.12695,13348.5254
3117,175,5333.50195,13352.0605
3118,166,5333.85156,13355.5195
3119,122,5334.23682,13359.1133
3120,189,5334.80566,13363.3203
3121,216,5335.08301,13366.5498
3122,210,5335.24561,13369.3672
3123,253,5335.43262,13372.2754
3124,280,5335.44092,13374.54
3125,260,5268.06396,13343.5381
3126,235,5227.1709,13308.7627
3127,209,5227.52686,13311.3447
3128,174,5228.34375,13314.3271
3129,124,5229.77588,13317.8525
3130,118,5232.06592,13322.0957
3131,146,5234.41943,13326.4082
3132,135,5236.26318,13330.335
3133,111,5238.26367,13334.4082
3134,93,5240.62793,13338.7959
3135,88,5243.23975,13343.3975
3136,0,5245.875,13348.0439
3137,0,5249.82227,13353.4717
3138,0,5253.63525,13358.8779
3139,0,5257.32617,13364.2734
3140,0,5260.90576,13369.6689
3141,0,5264.36719,13375.0488
3142,0,5267.71729,13380.418
3143,0,5270.96289,13385.7822
3144,0,5274.09814,13391.125
3145,89,5277.13574,13396.4629
3146,182,5279.04785,13401.0088
3147,157,5279.87354,13404.3086
3148,146,5280.96973,13407.9658
3149,181,5282.17285,13411.7695
3150,158,5282.97998,13415.0684
3151,132,5284.02734,13418.6963
3152,106,5285.33789,13422.6768
3153,89,5286.90234,13426.9863
3154,86,5288.61279,13431.4854
3155,105,5290.3208,13436.0195
3156,125,5291.80029,13440.3154
3157,131,5293.05957,13444.3594
3158,142,5294.23975,13448.3145
3159,137,5295.29932,13452.1201
3160,116,5296.39014,13455.9883
3161,110,5297.65869,13460.1299
3162,100,5298.95508,13464.3262
3163,92,5300.31689,13468.6387
3164,101,5301.7207,13473.0352
3165,143,5303.02002,13477.3223
3166,136,5303.9458,13481.0693
3167,127,5304.91748,13484.9121
3168,117,5305.9458,13488.8623
3169,122,5307.03662,13492.9326
3170,124,5308.06934,13496.9346
3171,132,5309.06934,13500.9053
3172,152,5309.99316,13504.7676
3173,165,5310.75439,13508.3574
3174,160,5311.41064,13511.7588
3175,148,5312.09619,13515.2285
3176,128,5312.85889,13518.8584
3177,127,5313.75195,13522.7451
3178,133,5314.6377,13526.6387
3179,151,5315.46826,13530.4492
3180,176,5316.16504,13534.0166
3181,174,5316.6875,13537.2334
3182,146,5317.21777,13540.4736
3183,123,5317.92334,13544.0908
3184,126,5318.76807,13548.0059
3185,145,5319.5791,13551.874
3186,150,5320.25977,13555.4951
3187,145,5320.8999,13559.041
3188,192,5321.56152,13562.6484
3189,162,5321.93506,13565.6006
3190,7,5322.48242,13568.9707
3191,0,5323.9248,13573.916
3192,0,5325.36279,13578.8984
3193,0,5326.75146,13583.8613
3194,0,5328.09766,13588.8242
3195,0,5329.39746,13593.7676
3196,0,5330.65771,13598.7109
3197,0,5331.87598,13603.6396
3198,0,5333.05469,13608.5586
3199,0,5334.19531,13613.4688
3200,104,5335.29883,13618.3691
3201,129,5335.93066,13622.3818
3202,0,5336.44824,13626.1006
3203,0,5337.47852,13630.9756
3204,0,5338.47461,13635.8359
3205,46,5339.44043,13640.6973
3206,228,5340.20605,13645.2334
3207,226,5340.30225,13647.5986
3208,226,5340.40527,13649.9932
3209,212,5340.50781,13652.3809
3210,198,5340.65967,13654.9609
3211,175,5340.85938,13657.7266
3212,203,5341.1377,13660.7988
3213,218,5341.31689,13663.4902
3214,196,5341.44336,13665.9746
3215,170,5341.64453,13668.7549
3216,161,5341.93213,13671.8857
3217,152,5342.24658,13675.1279
3218,144,5342.58691,13678.4824
3219,128,5342.94922,13681.9336
3220,120,5343.35742,13685.5752
3221,126,5343.78467,13689.3047
3222,124,5344.18555,13692.9551
3223,124,5344.58643,13696.6309
3224,145,5344.97998,13700.2939
3225,166,5345.30566,13703.7051
3226,163,5345.56494,13706.8369
3227,138,5345.83057,13710.0098
3228,129,5346.16406,13713.4893
3229,140,5346.51758,13717.0713
3230,175,5346.83496,13720.5166
3231,201,5347.05225,13723.5098
3232,232,5347.19775,13726.1582
3233,224,5347.25928,13728.3984
3234,226,5347.3418,13730.7383
3235,233,5347.41895,13733.0498
3236,226,5347.47705,13735.2676
3237,223,5347.55371,13737.5742
3238,219,5347.6377,13739.918
3239,219,5347.73193,13742.3096
3240,220,5347.82568,13744.7031
3241,224,5347.9165,13747.0791
3242,217,5347.99658,13749.3984
3243,170,5348.09424,13751.8086
3244,139,5348.31201,13754.8301
3245,149,5348.60645,13758.2363
3246,153,5348.87109,13761.5127
3247,141,5349.12256,13764.7354
3248,142,5349.3999,13768.0996
3249,153,5349.67041,13771.4434
3250,150,5349.91162,13774.6553
3251,135,5350.15625,13777.8965
3252,141,5350.43213,13781.3125
3253,166,5350.68994,13784.6494
3254,183,5350.88867,13787.6816
3255,198,5351.04736,13790.4912
3256,205,5351.17188,13793.1035
3257,174,5351.28027,13795.623
3258,141,5351.45508,13798.5371
3259,143,5351.69824,13801.8525
3260,161,5351.93359,13805.1367
3261,141,5352.12842,13808.2041
3262,114,5352.36182,13811.5059
3263,112,5352.64648,13815.1064
3264,130,5352.92969,13818.7188
3265,146,5353.17334,13822.1357
3266,155,5353.38184,13825.3525
3267,166,5353.5708,13828.4697
3268,161,5353.73633,13831.4385
3269,138,5353.90967,13834.4678
3270,117,5354.12256,13837.7666
3271,104,5354.37012,13841.2969
3272,96,5354.63574,13844.9502
3273,112,5354.91113,13848.6875
3274,124,5355.15283,13852.2471
3275,123,5355.37012,13855.6729
3276,128,5355.58545,13859.1074
3277,149,5355.78955,13862.4854
3278,167,5355.95703,13865.6162
3279,187,5356.09375,13868.5244
3280,184,5356.19873,13871.1865
3281,171,5356.30713,13873.8848
3282,147,5356.43408,13876.7373
3283,137,5356.5957,13879.8711
3284,128,5356.77002,13883.1152
3285,117,5356.95459,13886.4512
3286,114,5357.15186,13889.9023
3287,123,5357.3501,13893.3828
3288,144,5357.53223,13896.7598
3289,153,5357.68262,13899.9004
3290,221,5357.81885,13902.9297
3291,245,5357.86377,13905.1357
3292,223,5357.87695,13907.0508
3293,225,5357.91895,13909.2246
3294,242,5357.95801,13911.374
3295,233,5357.9751,13913.3193
3296,183,5358.00391,13915.3691
3297,163,5358.09717,13918.0234
3298,172,5358.21533,13920.9141
3299,194,5358.3208,13923.6943
3300,159,5358.39746,13926.2051
3301,130,5358.51709,13929.1348
3302,106,5358.6709,13932.3799
3303,110,5358.85107,13935.8701
3304,113,5359.02344,13939.3184
3305,140,5359.18896,13942.7275
3306,163,5359.32031,13945.8467
3307,199,5359.42383,13948.7002
3308,217,5359.48633,13951.1221
3309,219,5359.52832,13953.3252
3310,214,5359.56787,13955.5
3311,174,5359.61279,13957.7344
3312,142,5359.70117,13960.4463
3313,152,5359.82275,13963.5186
3314,203,5359.93213,13966.4717
3315,245,5359.98682,13968.8281
3316,246,5359.99707,13970.6885
3317,209,5360.00635,13972.5352
3318,186,5360.0542,13974.8115
3319,183,5360.12549,13977.3584
3320,182,5360.19922,13979.9375
3321,158,5360.27344,13982.5254
3322,132,5360.37109,13985.3877
3323,129,5360.49316,13988.5312
3324,146,5360.61621,13991.6982
3325,146,5360.7373,13994.8633
3326,152,5360.84033,13997.8457
3327,138,5360.93604,14000.752
3328,138,5361.04346,14003.8086
3329,143,5361.14941,14006.8643
3330,167,5361.24902,14009.8555
3331,162,5361.32617,14012.582
3332,146,5361.40674,14015.3564
3333,124,5361.50049,14018.3066
3334,124,5361.61133,14021.4863
3335,131,5361.72021,14024.6582
3336,144,5361.82129,14027.75
3337,167,5361.91064,14030.7041
3338,198,5361.98047,14033.4033
3339,187,5362.02539,14035.7422
3340,144,5362.07812,14038.2051
3341,125,5362.16357,14041.1445
3342,133,5362.26221,14044.2734
3343,132,5362.35352,14047.3223
3344,120,5362.44385,14050.374
3345,136,5362.5415,14053.5381
3346,179,5362.62646,14056.542
3347,183,5362.67969,14059.0684
3348,89,5362.72949,14061.5488
3349,0,5362.84375,14064.9814
3350,0,5363.01514,14068.9932
3351,0,5363.18115,14072.9971
3352,0,5363.34131,14076.9932
3353,0,5363.49658,14080.9893
3354,0,5363.64648,14084.9658
3355,0,5363.7915,14088.9385
3356,95,5363.93164,14092.9033
3357,203,5364.0166,14096.2324
3358,165,5364.04346,14098.4443
3359,144,5364.08984,14101.0752
3360,131,5364.14648,14103.9219
3361,164,5364.20898,14106.9023
3362,20,5364.25391,14109.5322
3363,20,5364.29834,14112.1562
3364,0,5364.41211,14115.9746
3365,0,5364.53174,14119.8857
3366,0,5364.64746,14123.7891
3367,0,5364.75928,14127.6855
3368,0,5364.86719,14131.5742
3369,0,5364.97168,14135.459
3370,0,5365.07275,14139.332
3371,0,5365.17041,14143.1973
3372,143,5365.26465,14147.0518
3373,86,5365.30469,14149.8486
3374,178,5365.36426,14153.1572
3375,169,5365.39062,14155.5752
3376,160,5365.41992,14158.0908
3377,131,5365.45215,14160.6953
3378,116,5365.49365,14163.5879
3379,108,5365.53906,14166.6143
3380,107,5365.58643,14169.71
3381,108,5365.6333,14172.8096
3382,97,5365.67871,14175.8984
3383,89,5365.72656,14179.0703
3384,93,5365.77588,14182.3086
3385,99,5365.82324,14185.5059
3386,100,5365.86768,14188.6484
3387,113,5365.91113,14191.7773
3388,127,5365.9502,14194.7891
3389,123,5365.98438,14197.6689
3390,114,5366.01904,14200.5811
3391,118,5366.05566,14203.5703
3392,115,5366.09082,14206.5195
3393,112,5366.12598,14209.4873
3394,97,5366.16113,14212.4805
3395,109,5366.19922,14215.5957
3396,198,5366.23389,14218.6074
3397,168,5366.24707,14220.7363
3398,168,5366.26025,14222.8633
3399,138,5366.28027,14225.2979
3400,141,5366.30664,14228.0312
3401,146,5366.33203,14230.7266
3402,127,5366.35596,14233.375
3403,128,5366.38379,14236.1934
3404,160,5366.41064,14239.001
3405,180,5366.43066,14241.5
3406,164,5366.44629,14243.7881
3407,143,5366.46484,14246.2402
3408,141,5366.4873,14248.8906
3409,147,5366.50977,14251.5615
3410,145,5366.53076,14254.166
3411,137,5366.55225,14256.7881
3412,134,5366.57471,14259.4854
3413,127,5366.59717,14262.2031
3414,129,5366.62061,14264.9814
3415,127,5366.64355,14267.7373
3416,134,5366.6665,14270.5039
3417,147,5366.68799,14273.209
3418,156,5366.70654,14275.7852
3419,163,5366.72314,14278.2666
3420,172,5366.73877,14280.6855
3421,178,5366.75244,14283.0049
3422,144,5366.76514,14285.2637
3423,105,5366.7832,14287.8535
3424,110,5366.80713,14290.7803
3425,126,5366.83008,14293.6611
3426,135,5366.8501,14296.3975
3427,132,5366.86816,14299.0547
3428,139,5366.88672,14301.7295
3429,134,5366.90381,14304.3428
3430,118,5366.92139,14306.9951
3431,149,5366.94092,14309.7803
3432,194,5366.95557,14312.2891
3433,228,5366.96387,14314.3506
3434,266,5366.96777,14316.0742
3435,284,5299.62695,14285.0312
3436,269,5238.69287,14233.2119
3437,235,5195.28076,14181.9551
3438,212,5195.73291,14183.7305
3439,195,5196.7041,14185.749
3440,161,5198.05127,14187.9473
3441,135,5200.14551,14190.502
3442,124,5202.78906,14193.3154
3443,154,5205.62695,14196.2256
3444,196,5207.77539,14198.8379
3445,181,5209.0166,14201.0127
3446,132,5210.56006,14203.3418
3447,119,5213.10059,14206.1621
3448,194,5215.86475,14209.0977
3449,265,5217.08105,14211.2773
3450,263,5164.7998,14180.1055
3451,255,5124.85938,14141.5527
3452,247,5124.85938,14141.5527
3453,229,5125.11426,14143.2432
3454,182,5125.94043,14145.1201
3455,140,5128.25293,14147.5068
3456,110,5131.86133,14150.3311
3457,104,5136.33887,14153.4326
3458,121,5140.92285,14156.5879
3459,162,5144.90674,14159.582
3460,162,5147.62109,14162.1611
3461,162,5150.30518,14164.7393
3462,190,5152.95947,14167.3164
3463,205,5154.79053,14169.5898
3464,166,5156.18555,14171.6973
3465,129,5158.65527,14174.2207
3466,167,5162.11475,14177.1152
3467,170,5164.48877,14179.6211
3468,139,5166.75586,14182.0928
3469,123,5169.81543,14184.876
3470,132,5173.24463,14187.8076
3471,143,5176.38525,14190.6504
3472,172,5179.19922,14193.3828
3473,145,5181.25195,14195.8135
3474,121,5183.9458,14198.5186
3475,1,5187.17725,14201.4453
3476,0,5193.21387,14205.1914
3477,0,5199.05566,14208.9238
3478,0,5204.7085,14212.6523
3479,0,5210.17334,14216.373
3480,0,5215.46094,14220.0908
3481,0,5220.57227,14223.8008
3482,0,5225.50342,14227.4961
3483,0,5230.27051,14231.1846
3484,0,5234.8877,14234.873
3485,219,5239.34229,14238.5469
3486,230,5239.95068,14240.4355
3487,206,5240.37158,14242.2109
3488,187,5241.19238,14244.2285
3489,149,5242.32666,14246.4453
3490,118,5244.07568,14249.0371
3491,114,5246.30957,14251.918
3492,102,5248.56299,14254.8232
3493,125,5250.96777,14257.8311
3494,158,5252.96826,14260.6338
3495,182,5254.43408,14263.1182
3496,206,5255.52539,14265.3633
3497,202,5256.25098,14267.3594
3498,172,5257.02832,14269.3887
3499,170,5258.24023,14271.7246
3500,173,5259.46777,14274.0781
3501,151,5260.64014,14276.4004
3502,121,5262.10791,14278.9316
3503,122,5263.97705,14281.7402
3504,135,5265.79785,14284.5332
3505,142,5267.41064,14287.2031
3506,133,5268.90723,14289.8066
3507,140,5270.49756,14292.4863
3508,140,5271.97559,14295.1035
3509,143,5273.43115,14297.7168
3510,129,5274.82471,14300.2939
3511,135,5276.37256,14302.999
3512,153,5277.82129,14305.6436
3513,159,5279.0332,14308.1172
3514,152,5280.15869,14310.5303
3515,170,5281.34961,14313.0049
3516,186,5282.32031,14315.3057
3517,189,5283.1001,14317.4473
3518,180,5283.83887,14319.5547
3519,173,5284.67041,14321.7461
3520,176,5285.57227,14324.0078
3521,229,5286.43018,14326.2334
3522,251,5286.70996,14327.9375
3523,205,5286.75293,14329.4287
3524,148,5287.29736,14331.3945
3525,121,5288.41602,14333.835
3526,136,5289.82275,14336.5566
3527,148,5291.05273,14339.1484
3528,168,5292.13916,14341.623
3529,151,5293.01025,14343.9062
3530,134,5294.03955,14346.3467
3531,129,5295.21973,14348.9346
3532,156,5296.43115,14351.5674
3533,153,5297.36572,14353.9482
3534,163,5298.31689,14356.3555
3535,211,5299.16406,14358.6689
3536,223,5299.56348,14360.5117
3537,193,5299.85303,14362.2402
3538,192,5300.41113,14364.2559
3539,194,5300.97314,14366.2773
3540,206,5301.51318,14368.2783
3541,209,5301.94336,14370.1611
3542,165,5302.34424,14372.0107
3543,147,5303.12598,14374.2842
3544,167,5304.05176,14376.7178
3545,214,5304.79639,14378.9668
3546,225,5305.13867,14380.7598
3547,179,5305.38818,14382.4492
3548,165,5306.0166,14384.5732
3549,112,5306.75488,14386.8311
3550,75,5307.91162,14389.541
3551,191,5309.3418,14392.5186
3552,283,5309.83838,14394.5186
3553,281,5245.72559,14364.9639
3554,319,5197.63574,14324.0508
3555,286,5140.57764,14256.6992
3556,244,5104.29785,14203.7305
3557,204,5104.67822,14205.3955
3558,191,5106.43994,14207.4766
3559,109,5108.63428,14209.6904
3560,140,5113.60352,14212.709
3561,155,5117.44678,14215.4414
3562,141,5120.73535,14218.0195
3563,145,5124.43555,14220.7314
3564,66,5127.95312,14223.4014
3565,0,5133.9043,14226.7285
3566,0,5141.74316,14230.4219
3567,0,5149.3208,14234.1084
3568,0,5156.65283,14237.791
3569,0,5163.7334,14241.4629
3570,110,5170.57764,14245.127
3571,269,5174.33594,14248.0781
3572,261,5124.76074,14220.1963
3573,272,5090.21924,14187.8438
3574,226,5056.71143,14145.8447
3575,182,5057.89307,14147.752
3576,141,5060.85303,14150.1328
3577,141,5065.43604,14152.9424
3578,139,5069.95166,14155.748
3579,156,5074.48291,14158.5723
3580,185,5078.2876,14161.2178
3581,175,5080.94092,14163.5498
3582,142,5083.95166,14165.9912
3583,133,5088.15186,14168.7656
3584,132,5092.62891,14171.6299
3585,135,5097.0708,14174.5
3586,136,5101.32666,14177.3311
3587,138,5105.48096,14180.1484
3588,142,5109.50635,14182.9443
3589,173,5113.33887,14185.7002
3590,280,5116.07373,14188.1299
3591,223,5061.01904,14158.7148
3592,173,5062.3042,14160.6396
3593,125,5065.59326,14163.1084
3594,116,5070.7417,14166.0547
3595,144,5076.15381,14169.0801
3596,158,5080.39355,14171.8301
3597,161,5084.04834,14174.4365
3598,149,5087.54932,14177.0117
3599,163,5091.44482,14179.7031
3600,167,5094.7793,14182.248
3601,150,5097.93066,14184.748
3602,138,5101.64795,14187.4189
3603,134,5105.7373,14190.207
3604,152,5109.89014,14193.0215
3605,152,5113.98975,14195.8408
3606,157,5117.41748,14198.4736
3607,162,5120.6416,14201.0576
3608,157,5123.65625,14203.582
3609,147,5126.80371,14206.1611
3610,157,5130.21826,14208.8291
3611,147,5133.27295,14211.3936
3612,144,5136.59961,14214.0566
3613,135,5139.9707,14216.7451
3614,133,5143.56592,14219.5195
3615,130,5147.15674,14222.3037
3616,129,5150.78125,14225.1143
3617,130,5154.37842,14227.9326
3618,143,5157.88525,14230.7344
3619,185,5160.97607,14233.4092
3620,187,5162.87939,14235.6572
3621,159,5164.71191,14237.8818
3622,145,5167.27588,14240.3896
3623,142,5170.17676,14243.0312
3624,142,5173.11426,14245.6982
3625,178,5176.0083,14248.3613
3626,219,5177.95117,14250.6631
3627,197,5178.85059,14252.5391
3628,166,5180.29297,14254.6406
3629,173,5182.48926,14257.0557
3630,215,5184.48926,14259.3975
3631,231,5185.45459,14261.3057
3632,227,5186.03027,14263.0479
3633,0,5186.7002,14264.8301
3634,0,5192.78711,14268.4521
3635,0,5198.65869,14272.0596
3636,0,5204.3457,14275.668
3637,0,5209.83691,14279.2656
3638,0,5215.13965,14282.8525
3639,0,5220.26514,14286.4316
3640,0,5225.23438,14290.0146
3641,0,5230.02783,14293.584
3642,0,5234.66113,14297.1455
3643,0,5239.13916,14300.7002
3644,0,5243.46338,14304.2451
3713,,5243.46338,14304.2451
3714,146,5356.18604,14531.3496
3715,147,5356.35742,14533.5713
3716,186,5356.5249,14535.7812
3717,190,5356.63037,14537.6592
3718,220,5356.72852,14539.498
3719,225,5356.78076,14541.0723
3720,199,5356.82568,14542.6025
3721,170,5356.90918,14544.3594
3722,133,5357.03467,14546.3604
3723,109,5357.21289,14548.666
3724,113,5357.42236,14551.1416
3725,136,5357.62256,14553.5879
3726,141,5357.78711,14555.8594
3727,122,5357.94238,14558.0859
3728,124,5358.12012,14560.4531
3729,123,5358.29248,14562.8066
3730,125,5358.46338,14565.1611
3731,144,5358.62842,14567.4951
3732,179,5358.76709,14569.6836
3733,159,5358.86035,14571.5781
3734,158,5358.97705,14573.6377
3735,173,5359.09375,14575.7021
3736,198,5359.19092,14577.6396
3737,209,5359.25781,14579.3652
3738,72,5359.31152,14580.9902
3739,139,5359.52393,14583.6553
3740,53,5359.65479,14585.8555
3741,197,5359.87988,14588.6162
3742,133,5359.94238,14590.333
3743,255,5360.07373,14592.5752
3744,292,5360.07373,14592.5752
3745,273,5269.07617,14550.627
3746,258,5209.65723,14500.0967
3747,234,5167.71582,14450.5889
3748,210,5168.27393,14452.1279
3749,166,5169.46533,14453.8828
3750,149,5171.80566,14456.0361
3751,150,5174.56592,14458.3398
3752,152,5177.25928,14460.6299
3753,160,5179.86719,14462.9014
3754,139,5182.23535,14465.0957
3755,127,5185.09375,14467.4697
3756,112,5188.19971,14469.9385
3757,100,5191.61084,14472.5195
3758,74,5195.23877,14475.1846
3759,194,5199.38428,14478.0166
3760,153,5200.75049,14479.8906
3761,135,5203.01465,14482.125
3762,100,5205.64258,14484.5068
3763,82,5208.97998,14487.1504
3764,115,5212.63623,14489.917
3765,114,5215.52441,14492.4443
3766,122,5218.37939,14494.9756
3767,150,5221.02002,14497.4395
3768,171,5223.07178,14499.6777
3769,182,5224.68896,14501.7295
3770,164,5226.07861,14503.6816
3771,143,5227.79443,14505.7891
3772,130,5229.88086,14508.0713
3773,136,5232.17285,14510.4521
3774,146,5234.3208,14512.7842
3775,149,5236.25928,14515.0342
3776,149,5238.11572,14517.2539
3777,150,5239.94629,14519.4707
3778,167,5241.73242,14521.6738
3779,172,5243.20996,14523.7324
3780,179,5244.58887,14525.7471
3781,7,5245.83496,14527.6943
3782,163,5249.86475,14530.7695
3783,200,5251.31055,14532.8496
3784,197,5252.16455,14534.6064
3785,176,5253.05859,14536.3877
3786,260,5254.2666,14538.3496
3787,248,5194.21094,14510.5752
3788,253,5194.37256,14511.9365
3789,262,5194.41895,14513.2559
3790,266,5148.05908,14478.8984
3791,251,5108.83594,14436.2158
